id,title,description,ingredients,steps,prep_time,category,created_at
17,Schokoladen-Mousse,Luftiges Dessert,200g dunkle Schokolade|4 Eier|2 EL Zucker|100ml Sahne,Schokolade schmelzen|Eier trennen|Eigelb unter Schokolade rühren|Eiweiß steif schlagen|Vorsichtig unterheben und kalt stellen,30,Dessert,2025-11-10 15:15:00
18,Thunfisch-Sandwich,Schneller Snack für Zwischendurch,2 Scheiben Brot|1 Dose Thunfisch|2 EL Mayo|Salatblätter|Tomate,Thunfisch abtropfen lassen|Mit Mayo vermischen|Brotscheiben toasten|Salat und Tomate darauf|Thunfischmasse verteilen,10,Snack,2025-11-10 15:20:00
19,Iced Coffee,Erfrischender Kaltgetränk,200ml Kaffee|Eiswürfel|100ml Milch|1 TL Zucker|Sirup nach Wahl,Kaffee kochen und abkühlen|Glas mit Eis füllen|Kalten Kaffee eingießen|Milch und Zucker hinzufügen|Umrühren und genießen,5,Getränk,2025-11-10 15:25:00
20,Lachs mit Gemüse,Gesundes Fischgericht,2 Lachsfilets|1 Brokkoli|1 Karotte|Zitrone|Dill,Brokkoli und Karotte schneiden|Lachs mit Zitrone beträufeln|Alles im Ofen bei 180°C 20 Min garen|Mit Dill bestreuen|Heiß servieren,25,Hauptgericht,2025-11-10 15:30:00
21,Energy Balls,Energie-Kugeln für Sportler,100g Haferflocken|2 EL Erdnussbutter|1 EL Honig|Kokosraspeln|Kakao,Alle Zutaten vermischen|Zu einer Masse kneten|Kleine Kugeln formen|In Kokosraspeln wälzen|30 Min kühlen,15,Snack,2025-11-10 15:35:00
22,Minestrone,Italienische Gemüsesuppe,2 Kartoffeln|2 Karotten|1 Zucchini|100g Bohnen|Tomatenmark,Gemüse würfeln|In Topf mit Öl anbraten|Mit Wasser ablöschen|20 Min köcheln|Mit Balsamico abschmecken,30,Vorspeise,2025-11-10 15:40:00
23,Zucchini-Nudeln,Low-Carb Alternative,2 Zucchini|1 EL Öl|Knoblauch|Parmesan|Basilikum,Zucchini mit Spiralschneider zu Nudeln formen|Öl in Pfanne erhitzen|Knoblauch anbraten|Zucchini-Nudeln 3 Min braten|Mit Parmesan und Basilikum servieren,15,Hauptgericht,2025-11-10 15:45:00
24,Beeren-Smoothie,Vitaminreicher Start in den Tag,100g gemischte Beeren|1 Banane|200ml Joghurt|Honig|Eiswürfel,Beeren waschen|Bananen schälen|Alle Zutaten in Mixer geben|Cremig mixen|Sofort trinken,7,Getränk,2025-11-10 15:50:00
25,Käseomelett,Sättigendes Eigericht,3 Eier|50g Käse|1 EL Milch|Butter|Schnittlauch,Eier mit Milch verquirlen|Butter in Pfanne schmelzen|Eiermasse eingießen|Käse darüber streuen|Zuklappen und goldbraun braten,12,Hauptgericht,2025-11-10 15:55:00
26,Guacamole,Mexikanischer Avocado-Dip,2 Avocados|1 Zwiebel|1 Tomate|Limettensaft|Koriander,Avocados zerdrücken|Zwiebel und Tomate fein hacken|Alles vermischen|Mit Limettensaft beträufeln|Mit Koriander würzen,10,Snack,2025-11-10 16:00:00
27,Reis mit Gemüse,Einfache Beilage oder Hauptgericht,200g Reis|1 Paprika|1 Karotte|1 Zwiebel|Sojasauce,Reis nach Packungsanweisung kochen|Gemüse schneiden und anbraten|Reis hinzufügen|Mit Sojasauce würzen|Alles vermengen,25,Hauptgericht,2025-11-10 16:05:00
28,Apfelmus,Selbstgemachter Fruchtmus,4 Äpfel|1 Zimtstange|2 EL Zucker|100ml Wasser|Zitronensaft,Äpfel schälen und würfeln|Mit Wasser und Zucker kochen|15 Min weich köcheln|Zimt entfernen|Mit Zitronensaft pürieren,20,Dessert,2025-11-10 16:10:00
29,Hummus,Cremiger Kichererbsen-Dip,1 Dose Kichererbsen|2 EL Tahini|1 Knoblauchzehe|Zitronensaft|Kreuzkümmel,Kichererbsen abtropfen lassen|Alle Zutaten in Mixer geben|Cremig mixen|Bei Bedarf Wasser hinzufügen|Mit Öl beträufeln,15,Snack,2025-11-10 16:15:00
30,Ratatouille,Französisches Gemüsegericht,1 Aubergine|2 Zucchini|2 Tomaten|1 Zwiebel|Kräuter der Provence,Gemüse in Scheiben schneiden|Schichtweise in Form anordnen|Mit Kräutern würzen|Bei 180°C 40 Min backen|Heiß oder kalt servieren,50,Hauptgericht,2025-11-10 16:20:00
31,Grüner Smoothie,Gesunder Vitaminboost,1 Handvoll Spinat|1 Banane|1 Apfel|200ml Wasser|1 TL Chiasamen,Spinat waschen|Apfel entkernen|Alle Zutaten in Mixer geben|Glatt mixen|Sofort genießen,8,Getränk,2025-11-10 16:25:00
